"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedrc40fvs""","Link","Pending SO Items For Purchase Request","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Pending SO Items For Purchase Request","","Sales Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ned3ced7ll""","Link","Delivery Note Trends","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Delivery Note Trends","","Delivery Note","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedpag7c3m""","Link","Sales Invoice Trends","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Sales Invoice Trends","","Sales Invoice","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedonbv2dl""","Link","Customer Credit Balance","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Customer Credit Balance","","Customer","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ned9qk2jlo""","Link","Customers Without Any Sales Transactions","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Customers Without Any Sales Transactions","","Customer","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedah19heu""","Link","Sales Partners Commission","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Sales Partners Commission","","Customer","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nedo3j913n""","Link","Territory Target Variance Based On Item Group","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Territory Target Variance Based On Item Group","","Sales Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ned75hpo48""","Link","Sales Person Target Variance Based On Item Group","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Sales Person Target Variance Based On Item Group","","Sales Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nede2a0jd7""","Link","Sales Partner Target Variance Based On Item Group","2020-01-28 11:49:12.092882","Administrator","","",0,"Report","Sales Partner Target Variance based on Item Group","","Sales Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","""Stock""","Stock","Stock","Workspace","2020-03-02 15:43:10.096528","Administrator",7.0,"","","Stock","erpnext","","","","stock","","",0,1,0,"","""ni31tvb9kf""","Total Warehouses","2020-03-02 15:43:10.096528","Administrator","Total Warehouses","","""ni36dj8nkj""","Stock Value by Item Group","2020-03-02 15:43:10.096528","Administrator","Stock Value by Item Group","","","","","","","","","","","","","","","","","","""ni3mi584uf""","Link","Item","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""ni3fk25icm""","Total Stock Value","2020-03-02 15:43:10.096528","Administrator","Total Stock Value","","","","","","","","","","","","","","","","","","","","","","","","""ni3l6almah""","Link","Item Group","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Group","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""ni3d0ks1ag""","Total Active Items","2020-03-02 15:43:10.096528","Administrator","Total Active Items","","","","","","","","","","","","","","","","","","","","","","","","""ni3vc4cakh""","Link","Product Bundle","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Product Bundle","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3iignl11""","Link","Price List","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Price List","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni31r6j06e""","Link","Item Price","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Price","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3ohtdtln""","Link","Shipping Rule","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Shipping Rule","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3tlbr06f""","Link","Pricing Rule","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Pricing Rule","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3osoeqfb""","Link","Item Alternative","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Alternative","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3i6m73q1""","Link","Item Manufacturer","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Manufacturer","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3kfm9tuc""","Link","Customs Tariff Number","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Customs Tariff Number","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3ss2je9m""","Card Break","Stock Transactions","2020-03-02 15:43:10.096528","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3cr5c6ef""","Link","Material Request","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Material Request","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3rh3t69i""","Link","Stock Entry","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Stock Entry","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni30pk2gl4""","Link","Delivery Note","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Delivery Note","","Item, Customer","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3ak7puuj""","Link","Purchase Receipt","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Purchase Receipt","","Item, Supplier","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3lcsrvva""","Link","Pick List","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Pick List","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3d5ojdnc""","Link","Delivery Trip","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Delivery Trip","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni373mte83""","Card Break","Settings","2020-03-02 15:43:10.096528","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3oj61ibd""","Link","Stock Settings","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Stock Settings","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3cfimo9g""","Link","Warehouse","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Warehouse","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3paadfnl""","Link","Unit of Measure (UOM)","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","UOM","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3d2vhb6m""","Link","Item Variant Settings","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Variant Settings","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3s07ajpc""","Link","Brand","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Brand","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3ochtnqh""","Link","Item Attribute","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Attribute","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3knej49m""","Link","UOM Conversion Factor","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","UOM Conversion Factor","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3i9va5jo""","Card Break","Tools","2020-03-02 15:43:10.096528","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni33lft025""","Link","Stock Reconciliation","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Stock Reconciliation","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3839je82""","Link","Landed Cost Voucher","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Landed Cost Voucher","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3viibs6h""","Link","Packing Slip","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Packing Slip","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3mtei783""","Link","Quality Inspection","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Quality Inspection","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3a19a1rt""","Link","Quality Inspection Template","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Quality Inspection Template","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni36vj2icq""","Link","Quick Stock Balance","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Quick Stock Balance","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3vdgbjmh""","Card Break","Other Reports","2020-03-02 15:43:10.096528","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni34g3kkk9""","Link","Requested Items To Be Transferred","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Requested Items To Be Transferred","","Material Request","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni35n3mm23""","Link","Batch Item Expiry Status","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Batch Item Expiry Status","","Stock Ledger Entry","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni38gfoe8q""","Link","Item Prices","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Item Prices","","Price List","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3b9ukpgi""","Link","Itemwise Recommended Reorder Level","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Itemwise Recommended Reorder Level","","Item","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3mmpq39p""","Link","Item Variant Details","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Item Variant Details","","Item","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni34lj0jao""","Link","Subcontracted Raw Materials To Be Transferred","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Subcontracted Raw Materials To Be Transferred","","Purchase Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3k58sps2""","Link","Subcontracted Item To Be Received","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Subcontracted Item To Be Received","","Purchase Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3t48cekc""","Card Break","Stock Reports","2020-03-02 15:43:10.096528","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3f2csafn""","Link","Stock Ledger","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Stock Ledger","","Item","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3s2s0dbg""","Link","Stock Balance","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Stock Balance","","Item","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3c247fka""","Link","Stock Projected Qty","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Stock Projected Qty","","Item","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3nl1ojho""","Link","Stock Summary","2020-03-02 15:43:10.096528","Administrator","","",0,"Page","stock-balance","","Item","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3duk9he6""","Link","Stock Ageing","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Stock Ageing","","Item","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3ajjet85""","Link","Item Price Stock","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Item Price Stock","","Item","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3qq0uof2""","Link","Warehouse Wise Stock Balance","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Warehouse Wise Stock Balance","Stock Ledger Entry","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3j90j26f""","Card Break","Items Catalogue","2020-03-02 15:43:10.096528","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3g301oo0""","Link","Item","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3po2i3n5""","Link","Item Group","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Group","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni39c2vlt7""","Link","Product Bundle","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Product Bundle","","","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3pj1mfhj""","Link","Shipping Rule","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Shipping Rule","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3shrhjmo""","Link","Item Alternative","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Alternative","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3q4gtvvd""","Link","Item Manufacturer","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Item Manufacturer","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3qijn1mt""","Card Break","Key Reports","2020-03-02 15:43:10.096528","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3tdero2v""","Link","Stock Analytics","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Stock Analytics","","Stock Entry","",1,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3gq9192p""","Link","Delivery Note Trends","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Delivery Note Trends","","Delivery Note","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3fjnfunv""","Link","Purchase Receipt Trends","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Purchase Receipt Trends","","Purchase Receipt","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni38uophc4""","Link","Sales Order Analysis","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Sales Order Analysis","","Sales Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni335202mn""","Link","Purchase Order Analysis","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Purchase Order Analysis","","Purchase Order","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3c47jiiq""","Link","Item Shortage Report","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Item Shortage Report","","Bin","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3u5i1p1q""","Link","Batch-Wise Balance History","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Batch-Wise Balance History","","Batch","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3g81b21n""","Card Break","Serial No and Batch","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3puiqr45""","Link","Serial No","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Serial No","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni393h8gqt""","Link","Batch","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Batch","","Item","",1,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni31pb5fl5""","Link","Serial No and Batch Traceability","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Serial No and Batch Traceability","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3jrsf914""","Link","Serial No Ledger","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Serial No Ledger","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3tpp6o61""","Link","Installation Note","2020-03-02 15:43:10.096528","Administrator","","",0,"DocType","Installation Note","","Item","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3fpsibqo""","Link","Serial No Service Contract Expiry","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Serial No Service Contract Expiry","Serial No","Serial No","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3c5hrtan""","Link","Serial No Status","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Serial No Status","Serial No","Serial No","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ni3fcdosla""","Link","Serial No Warranty Expiry","2020-03-02 15:43:10.096528","Administrator","","",0,"Report","Serial No Warranty Expiry","Serial No","Serial No","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Subcontracting""","Subcontracting","Subcontracting","Workspace","2020-03-02 17:11:37.032604","Administrator",8.0,"","","Subcontracting","erpnext","","","","organization","","",0,1,0,"","""njq22d8mcq""","Subcontracting Outward Order Count","2020-03-02 17:11:37.032604","Administrator","Subcontracting Outward Order Count","","""njqsq29jn5""","Subcontracting Order","2020-03-02 17:11:37.032604","Administrator","Subcontracting Outward Order","","","","","","","","","","","","","","","","","","""njqtjhlev6""","Card Break","Reports","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""njqni5mb66""","Active Subcontracted Items","2020-03-02 17:11:37.032604","Administrator","Active Subcontracted Items","","","","","","","","","","","","","","","","","","","","","","","","""njqm1br0k4""","Link","Subcontract Order Summary","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Subcontract Order Summary","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","""njqc7b47na""","Subcontracting Inward Order Count","2020-03-02 17:11:37.032604","Administrator","Subcontracting Inward Order Count","","","","","","","","","","","","","","","","","","","","","","","","""njq8lu8nkt""","Link","Subcontracted Item To Be Received","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Subcontracted Item To Be Received","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njqvg3q7m2""","Link","Subcontracted Raw Materials To Be Transferred","2020-03-02 17:11:37.032604","Administrator","","",0,"Report","Subcontracted Raw Materials To Be Transferred","","","",0,1,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njq8l1cqti""","Card Break","Subcontracting Inward Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njqrq3nvsn""","Link","Sales Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Sales Order","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njqb3u4adt""","Link","Subcontracting Inward Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Subcontracting Inward Order","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njq0qj89cn""","Link","Subcontracting Delivery","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Stock Entry","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njq4hdmdf8""","Card Break","Subcontracting Outward Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njqlf60bvv""","Link","Purchase Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Purchase Order","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njq9hk83ma""","Link","Subcontracting Outward Order","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Subcontracting Order","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""njqjdarbjo""","Link","Subcontracting Receipt","2020-03-02 17:11:37.032604","Administrator","","",0,"DocType","Subcontracting Receipt","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","""Support""","Support","Support","Workspace","2020-03-02 15:48:23.224699","Administrator",12.0,"","","Support","erpnext","","","","support","","",0,1,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""niaipefa8r""","Card Break","Issues","2020-03-02 15:48:23.224699","Administrator","","",0,"","","","","",0,0,"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""niae4ia87h""","Link","Issue","2020-03-02 15:48:23.224699","Administrator","","",0,"DocType","Issue","","","",1,0,"","","","","","","","","","","","","","","","","",""
